Biomarker_1,Biomarker_2,Biomarker_3,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,MMP9_PERM_norm,AGRIN_TIMP2_norm,0.94982,0.09091,0.98276,0.44643,0.96154,0.64773,0.22222,0.94828,0.78571,0.93617,0.82090,0.36364,0.91379,0.89286,0.90909,0.89831
Endometrial_thickness,MMP9_PERM_norm,TIMP2_AGRIN_norm,0.94982,0.09091,0.98276,0.44643,0.96154,0.64773,0.22222,0.94828,0.78571,0.93617,0.82090,0.36364,0.91379,0.89286,0.90909,0.89831
Endometrial_thickness,AGRIN_TIMP2_norm,PERM_MMP9_norm,0.94982,0.09091,0.98276,0.44643,0.96154,0.64773,0.22222,0.94828,0.78571,0.93617,0.82090,0.36364,0.91379,0.89286,0.90909,0.89831
Endometrial_thickness,TIMP2_AGRIN_norm,PERM_MMP9_norm,0.94982,0.09091,0.98276,0.44643,0.96154,0.64773,0.22222,0.94828,0.78571,0.93617,0.82090,0.36364,0.91379,0.89286,0.90909,0.89831
Endometrial_thickness,MMP9_TIMP2_norm,KPYM_PERM_norm,0.94714,0.16162,0.98182,0.68519,0.97368,0.76056,0.18182,0.94545,0.72222,0.92857,0.77612,0.63636,0.80000,0.98148,0.82812,0.97778
Endometrial_thickness,MMP9_TIMP2_norm,PERM_KPYM_norm,0.94714,0.16162,0.98182,0.68519,0.97368,0.76056,0.18182,0.94545,0.72222,0.92857,0.77612,0.63636,0.80000,0.98148,0.82812,0.97778
Endometrial_thickness,KPYM_PERM_norm,TIMP2_MMP9_norm,0.94714,0.16162,0.98182,0.68519,0.97368,0.76056,0.18182,0.94545,0.72222,0.92857,0.77612,0.63636,0.80000,0.98148,0.82812,0.97778
Endometrial_thickness,TIMP2_MMP9_norm,PERM_KPYM_norm,0.94714,0.16162,0.98182,0.68519,0.97368,0.76056,0.18182,0.94545,0.72222,0.92857,0.77612,0.63636,0.80000,0.98148,0.82812,0.97778
Endometrial_thickness,MMP9_TIMP2_norm,TIMP2_MVP_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_TIMP2_norm,MVP_MMP9_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_TIMP2_norm,MVP_TIMP2_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_MVP_norm,TIMP2_MMP9_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_MVP_norm,TIMP2_MVP_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_MVP_norm,MVP_TIMP2_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,TIMP2_MMP9_norm,MVP_MMP9_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,TIMP2_MMP9_norm,MVP_TIMP2_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,TIMP2_MVP_norm,MVP_MMP9_norm,0.94706,0.09091,0.98246,0.42105,0.96000,0.62921,0.23232,0.94737,0.73684,0.93333,0.78261,0.31313,0.91228,0.87719,0.90909,0.88136
Endometrial_thickness,MMP9_MVP_norm,AGRIN_TIMP2_norm,0.94675,0.07071,0.98246,0.45614,0.96296,0.64368,0.20202,0.94737,0.71930,0.93182,0.77143,0.45455,0.91228,0.92982,0.91379,0.92857
Endometrial_thickness,MMP9_MVP_norm,TIMP2_AGRIN_norm,0.94675,0.07071,0.98246,0.45614,0.96296,0.64368,0.20202,0.94737,0.71930,0.93182,0.77143,0.45455,0.91228,0.92982,0.91379,0.92857
Endometrial_thickness,AGRIN_TIMP2_norm,MVP_MMP9_norm,0.94675,0.07071,0.98246,0.45614,0.96296,0.64368,0.20202,0.94737,0.71930,0.93182,0.77143,0.45455,0.91228,0.92982,0.91379,0.92857
Endometrial_thickness,TIMP2_AGRIN_norm,MVP_MMP9_norm,0.94675,0.07071,0.98246,0.45614,0.96296,0.64368,0.20202,0.94737,0.71930,0.93182,0.77143,0.45455,0.91228,0.92982,0.91379,0.92857
Endometrial_thickness,KPYM_TIMP2_norm,MVP_PERM_norm,0.94613,0.05051,0.98182,0.35185,0.95000,0.60674,0.23232,0.94545,0.79630,0.93478,0.82540,0.53535,0.87273,0.96296,0.88136,0.96000
Endometrial_thickness,KPYM_TIMP2_norm,PERM_MVP_norm,0.94613,0.05051,0.98182,0.35185,0.95000,0.60674,0.23232,0.94545,0.79630,0.93478,0.82540,0.53535,0.87273,0.96296,0.88136,0.96000
Endometrial_thickness,TIMP2_KPYM_norm,MVP_PERM_norm,0.94613,0.05051,0.98182,0.35185,0.95000,0.60674,0.23232,0.94545,0.79630,0.93478,0.82540,0.53535,0.87273,0.96296,0.88136,0.96000
Endometrial_thickness,TIMP2_KPYM_norm,PERM_MVP_norm,0.94613,0.05051,0.98182,0.35185,0.95000,0.60674,0.23232,0.94545,0.79630,0.93478,0.82540,0.53535,0.87273,0.96296,0.88136,0.96000
Endometrial_thickness,KPYM_AGRIN_norm,AGRIN_TIMP2_norm,0.94579,0.10101,0.98182,0.47273,0.96296,0.65060,0.24242,0.94545,0.81818,0.93750,0.83871,0.68687,0.81818,0.98182,0.84375,0.97826
